projectName,slug,articleTitle,cfArticleUrl,region,country,stateProvince,cityArea,latitude,longitude,sector,subsector,projectStage,bdTiming,projectValue,currency,ownerDeveloper,clientAuthority,mainContractor,keyContractors,contractType,procurementStatus,fidStatus,constructionStart,completionTarget,commercialOpportunity,confidenceLevel,latestUpdateDate,lastReviewed,sourceUrl,sourceNotes,reviewStatus,mapReady,includeInV0Map
Banha and Nubaria Gas power plants,banha-and-nubaria-gas-power-plants,GE Vernova secures order to modernize Banha and Nubaria Gas power plants in Egypt,https://constructionfront.com/2026-05-03-ge-vernova-secures-order-to-modernize-banha-and-nubaria-gas-power-plants-in-egypt/,Other,Egypt,,Banha / Nubaria,30.7,30.9,Energy,Gas Power,Contract Awarded,Contractor Route,,,,,GE Vernova,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-03,2026-05-21,https://constructionfront.com/2026-05-03-ge-vernova-secures-order-to-modernize-banha-and-nubaria-gas-power-plants-in-egypt/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,false
Hamilton LRT,hamilton-lrt,Aecon-led alliance selected for Hamilton LRT civil and utilities works in Ontario,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,North America,Canada,Ontario,,50,-85,Transport,Rail / Metro,Tendering / Procurement,Active Opportunity,,,,,Aecon-led alliance,,Alliance,Awarded,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-04,2026-05-21,https://constructionfront.com/2026-05-04-aecon-led-alliance-selected-for-hamilton-lrt-civil-and-utilities-works-in-ontario/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Hudson Tunnel river section,hudson-tunnel-river-section,Traylor-Walsh-Skanska JV wins $1.29 billion Hudson Tunnel river section contract in New York and New Jersey,https://constructionfront.com/traylor-walsh-skanska-jv-wins-1-29-billion-hudson-tunnel-river-section-contract-in-new-york-and-new-jersey/,North America,United States,New York / New Jersey,Hudson River,40.75,-74,Other,Other,Contract Awarded,Contractor Route,$1.29 billion,USD,,,Traylor-Walsh-Skanska JV,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,,2026-05-21,https://constructionfront.com/traylor-walsh-skanska-jv-wins-1-29-billion-hudson-tunnel-river-section-contract-in-new-york-and-new-jersey/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
D35 motorway,d35-motorway,STRABAG consortium wins €177 million D35 motorway contract in the Czech Republic,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Europe,Czech Republic,,D35 motorway corridor,50,15.8,Transport,Road / Bridge,Contract Awarded,Contractor Route,€177 million,EUR,,,STRABAG consortium,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-07,2026-05-21,https://constructionfront.com/2026-05-07-strabag-consortium-wins-177-million-d35-motorway-contract-in-the-czech-republic/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
North Station Draw One project,north-station-draw-one-project,Skanska wins $1.06 billion design-build contract for MBTA’s North Station Draw One project in Massachusetts,https://constructionfront.com/2026-05-07-skanska-wins-1-06-billion-design-build-contract-for-mbtas-north-station-draw-one-project-in-massachusetts/,North America,United States,Massachusetts,Boston,42.366,-71.062,Other,Other,Contract Awarded,Contractor Route,$1.06 billion,USD,,MBTA,Skanska,,Design-Build,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,2026-05-07,2026-05-21,https://constructionfront.com/2026-05-07-skanska-wins-1-06-billion-design-build-contract-for-mbtas-north-station-draw-one-project-in-massachusetts/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
OL32 Skavsta Rail Contract,ol32-skavsta-rail-contract,Feronord Consortium Selected for €1.2 Billion OL32 Skavsta Rail Contract in Sweden,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Europe,Sweden,Södermanland,Skavsta / OL32 corridor,58.8,16.9,Transport,Rail / Metro,Tendering / Procurement,Active Opportunity,€1.2 Billion,EUR,,,Feronord Consortium,,Unknown,Awarded,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-11,2026-05-21,https://constructionfront.com/2026-05-11-feronord-consortium-selected-for-1-2-billion-ol32-skavsta-rail-contract-in-sweden/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
North West Transmission Developments,north-west-transmission-developments,TasNetworks Reaches Financial Close for A$1.3 Billion North West Transmission Developments in Australia,https://constructionfront.com/2026-05-12-tasnetworks-reaches-financial-close-for-a1-3-billion-north-west-transmission-developments-in-australia/,Australia & NZ,Australia,Tasmania,North West Tasmania,-41.5,145,Energy,Transmission / Grid,FID Reached,Active Opportunity,A$1.3 Billion,AUD,TasNetworks,,,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-12,2026-05-21,https://constructionfront.com/2026-05-12-tasnetworks-reaches-financial-close-for-a1-3-billion-north-west-transmission-developments-in-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Jinbi Solar Project,jinbi-solar-project,Yindjibarndi Energy Reaches Financial Close on 75MW Jinbi Solar Project in Western Australia,https://constructionfront.com/2026-05-12-yindjibarndi-energy-reaches-financial-close-on-75mw-jinbi-solar-project-in-western-australia/,Australia & NZ,Australia,,Australia,-25.2744,133.7751,Energy,Solar,FID Reached,Active Opportunity,,,Yindjibarndi Energy,,,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-12,2026-05-21,https://constructionfront.com/2026-05-12-yindjibarndi-energy-reaches-financial-close-on-75mw-jinbi-solar-project-in-western-australia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
El Patrimonio Solar Project,el-patrimonio-solar-project,CPS Energy and Ashtrom Break Ground on 150MW El Patrimonio Solar Project in Texas,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,North America,United States,Texas,,31,-99,Energy,Solar,Under Construction,Late Stage,,,CPS Energy and Ashtrom,,,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-13,2026-05-21,https://constructionfront.com/2026-05-13-cps-energy-and-ashtrom-break-ground-on-150mw-el-patrimonio-solar-project-in-texas/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
SH 99 Grand Parkway Segment B-1 Project,sh-99-grand-parkway-segment-b-1-project,Ferrovial-Webber JV Selected by TxDOT for $1.47 Billion SH 99 Grand Parkway Segment B-1 Project in Texas,https://constructionfront.com/2026-05-14-ferrovial-webber-99-jv-selected-by-txdot-for-1-47-billion-sh-99-grand-parkway-segment-b-1-project-in-texas/,North America,United States,Texas,,31,-99,Transport,Road / Bridge,Tendering / Procurement,Active Opportunity,$1.47 Billion,USD,,TxDOT,Ferrovial-Webber JV,,Unknown,Awarded,Unknown,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-14,2026-05-21,https://constructionfront.com/2026-05-14-ferrovial-webber-99-jv-selected-by-txdot-for-1-47-billion-sh-99-grand-parkway-segment-b-1-project-in-texas/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Beacon Point AI Data Center Campus,beacon-point-ai-data-center-campus,Jacobs Awarded EPCM Contract for Hut 8’s 1GW Beacon Point AI Data Center Campus in Texas,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,North America,United States,Texas,,31,-99,Digital Infrastructure,Data Centre,Contract Awarded,Contractor Route,,,Hut 8,,Jacobs,,EPCM,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include power, cooling, civil works, grid interconnection, design, project controls and commissioning.",Needs Review,2026-05-14,2026-05-21,https://constructionfront.com/2026-05-14-jacobs-awarded-epcm-contract-for-hut-8-1gw-beacon-point-ai-data-center-campus-in-texas/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
HS2 Depot and Control Centre,hs2-depot-and-control-centre,Taylor Woodrow-Aureos Rail JV Wins £856 Million HS2 Depot and Control Centre Contract in Birmingham,https://constructionfront.com/2026-05-14-taylor-woodrow-aureos-rail-jv-wins-856-million-hs2-depot-and-control-centre-contract-in-birmingham/,Europe,United Kingdom,West Midlands,Birmingham,52.4862,-1.8904,Transport,Rail / Metro,Contract Awarded,Contractor Route,£856 Million,GBP,,,Taylor Woodrow-Aureos Rail JV,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-14,2026-05-21,https://constructionfront.com/2026-05-14-taylor-woodrow-aureos-rail-jv-wins-856-million-hs2-depot-and-control-centre-contract-in-birmingham/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Commonwealth LNG,commonwealth-lng,"Caturus Reaches FID, Closes $9.75bn Financing and Issues NTP to Technip Energies for Commonwealth LNG in Louisiana",https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,North America,United States,Louisiana,Cameron Parish,29.8,-93.3,Energy,Gas / LNG,FID Reached,Active Opportunity,$9.75 bn,USD,Caturus / Commonwealth LNG,,Technip Energies,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-16,2026-05-21,https://constructionfront.com/2026-05-16-caturus-reaches-fid-closes-9-75bn-financing-and-issues-ntp-to-technip-energies-for-commonwealth-lng-in-louisiana/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Eagle Springs and Lupinus Solar-Storage Projects,eagle-springs-and-lupinus-solar-storage-projects,Sunraycer Closes $901 Million Financing for Eagle Springs and Lupinus Solar-Storage Projects in Texas,https://constructionfront.com/2026-05-16-sunraycer-closes-901-million-financing-for-eagle-springs-and-lupinus-solar-storage-projects-in-texas/,North America,United States,Texas,,31,-99,Energy,Solar + BESS,FID Reached,Active Opportunity,$901 Million,USD,Sunraycer Renewables,,,,Unknown,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-16,2026-05-21,https://constructionfront.com/2026-05-16-sunraycer-closes-901-million-financing-for-eagle-springs-and-lupinus-solar-storage-projects-in-texas/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Zeevonk Offshore Wind Project,zeevonk-offshore-wind-project,TKF Awarded Inter-Array Cable Contract for 1GW Zeevonk Offshore Wind Project in the Netherlands,https://constructionfront.com/2026-05-16-tkf-awarded-inter-array-cable-contract-for-1gw-zeevonk-offshore-wind-project-in-the-netherlands/,Europe,Netherlands,North Sea,Zeevonk offshore wind area,52.6,4,Energy,Offshore Wind,Contract Awarded,Contractor Route,,,,,TKF,,Unknown,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-16,2026-05-21,https://constructionfront.com/2026-05-16-tkf-awarded-inter-array-cable-contract-for-1gw-zeevonk-offshore-wind-project-in-the-netherlands/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
850MW Renewable PPA Portfolio,850mw-renewable-ppa-portfolio,"DESRI and Meta Sign 850MW Renewable PPA Portfolio Across Oklahoma, Texas and Mississippi",https://constructionfront.com/2026-05-17-desri-and-meta-sign-850mw-renewable-ppa-portfolio-across-oklahoma-texas-and-mississippi/,North America,United States,Texas,,31,-99,Energy,Solar,FID Pending,Active Opportunity,,,DESRI and Meta,,,,PPA / offtake,Power Purchase Agreement signed,Pending / not confirmed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-17,2026-05-21,https://constructionfront.com/2026-05-17-desri-and-meta-sign-850mw-renewable-ppa-portfolio-across-oklahoma-texas-and-mississippi/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
North Shore Wastewater Treatment Plant,north-shore-wastewater-treatment-plant,Metro Vancouver and Acciona Settle North Shore Wastewater Treatment Plant Claims for $235 Million,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,North America,Canada,British Columbia,North Shore / Vancouver,49.31,-123.08,Transport,Rail / Metro,On Hold / Delayed,Low Visibility,$235 Million,USD,Metro Vancouver,,Acciona,,Unknown,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include civil works, structures, systems, rail/road packages, utilities, design, project controls and commercial support.",Needs Review,2026-05-17,2026-05-21,https://constructionfront.com/2026-05-17-metro-vancouver-and-acciona-settle-north-shore-wastewater-treatment-plant-claims-for-235-million/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
"1,158MW of Wind Projects in British Columbia",1-158mw-of-wind-projects-in-british-columbia,"BC Hydro Awards Four 30-Year Electricity Purchase Agreements for 1,158MW of Wind Projects in British Columbia",https://constructionfront.com/2026-05-20-bc-hydro-awards-four-30-year-electricity-purchase-agreements-for-1158mw-of-wind-projects-in-british-columbia/,North America,Canada,British Columbia,,53.7,-127.6,Energy,Wind,Unknown,Low Visibility,,,,BC Hydro,,,Unknown,Unknown,Unknown,,,"Insufficient public information; review full article before BD action. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-20,2026-05-21,https://constructionfront.com/2026-05-20-bc-hydro-awards-four-30-year-electricity-purchase-agreements-for-1158mw-of-wind-projects-in-british-columbia/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Virginia Beach Resiliency Project,virginia-beach-resiliency-project,FlatironDragados Advances to Construction Phase of $518M Virginia Beach Resiliency Project,https://constructionfront.com/2026-05-20-flatirondragados-advances-to-construction-phase-of-518m-virginia-beach-resiliency-project/,North America,United States,Virginia,Virginia Beach,36.8529,-75.978,Other,Other,Under Construction,Late Stage,$518 M,USD,FlatironDragados,,FlatironDragados,,Unknown,Partly Awarded / Under Delivery,Likely reached or not applicable,,,"Major packages likely committed; opportunity may sit in subcontracting, change management, commissioning, claims support or O&M preparation. Relevant supplier categories should be reviewed against the article and source package.",Needs Review,2026-05-20,2026-05-21,https://constructionfront.com/2026-05-20-flatirondragados-advances-to-construction-phase-of-518m-virginia-beach-resiliency-project/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Sanitation PPP for 85 Municipalities,sanitation-ppp-for-85-municipalities,"ACCIONA Awarded €724M Sanitation PPP for 85 Municipalities in Paraíba, Brazil",https://constructionfront.com/2026-05-20-acciona-awarded-724m-sanitation-ppp-for-85-municipalities-in-paraiba-brazil/,Other,Brazil,Paraíba,,-7.12,-34.87,Water,Water / Wastewater,Contract Awarded,Contractor Route,€724 M,EUR,,,ACCIONA,,PPP / Concession,Awarded,Likely reached or not applicable,,,"Primary owner-side award appears made; suppliers/subcontractors should target appointed contractor, EPC/EPCM or alliance delivery team. Relevant categories may include process, civil, mechanical/electrical works, commissioning, O&M and PPP/concession advisory.",Needs Review,2026-05-20,2026-05-21,https://constructionfront.com/2026-05-20-acciona-awarded-724m-sanitation-ppp-for-85-municipalities-in-paraiba-brazil/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
Smoky Creek and Guthrie’s Gap Solar-Battery Projects,smoky-creek-and-guthries-gap-solar-battery-projects,Edify Reaches Financial Close on 720MWp Smoky Creek and Guthrie’s Gap Solar-Battery Projects in Queensland,https://constructionfront.com/2026-05-20-edify-reaches-financial-close-on-720mwp-smoky-creek-and-guthries-gap-solar-battery-projects-in-queensland/,Australia & NZ,Australia,Queensland,Central Queensland,-23.5,150.5,Energy,Solar + BESS,FID Reached,Active Opportunity,,,Edify Energy,,,,Project finance / delivery procurement,Partly Awarded / Under Delivery,Reached / Closed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-20,2026-05-21,https://constructionfront.com/2026-05-20-edify-reaches-financial-close-on-720mwp-smoky-creek-and-guthries-gap-solar-battery-projects-in-queensland/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,true,true
Big Horn I Wind Project Upgrade,big-horn-i-wind-project-upgrade,Avangrid and Puget Sound Energy Sign PPA for 199.5MW Big Horn I Wind Project Upgrade in Washington,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,North America,United States,Washington,Big Horn wind area,45.8,-120.5,Energy,Wind,FID Pending,Active Opportunity,,,Avangrid,,,Puget Sound Energy,PPA / offtake,Power Purchase Agreement signed,Pending / not confirmed,,,"Potentially active BD window; monitor tendering, package formation, financing close and contractor appointment. Relevant categories may include grid connection, electrical balance of plant, civil works, owner’s engineering, controls, O&M and commercial advisory.",Needs Review,2026-05-21,2026-05-21,https://constructionfront.com/2026-05-21-avangrid-and-puget-sound-energy-sign-ppa-for-199-5mw-big-horn-i-wind-project-upgrade-in-washington/,Initial record inferred from ConstructionFront article title and URL only. Verify against full article and official source before paid use.,Needs Source Check,false,false
